Pusgiwa Starry

iter: 175, loss: 18945.498047, content loss: 15018257.000000, style_loss: 866361.500000
iter: 176, loss: 18833.958984, content loss: 15007394.000000, style_loss: 853505.375000
iter: 177, loss: 18704.603516, content loss: 14857144.000000, style_loss: 852361.000000
iter: 178, loss: 18565.570312, content loss: 14765029.000000, style_loss: 844193.562500
iter: 179, loss: 18460.121094, content loss: 14706450.000000, style_loss: 836870.000000
iter: 180, loss: 18344.662109, content loss: 14617154.000000, style_loss: 831367.437500
iter: 181, loss: 18183.726562, content loss: 14582209.000000, style_loss: 814744.812500
iter: 182, loss: 18078.810547, content loss: 14468050.000000, style_loss: 813046.437500
iter: 183, loss: 17953.150391, content loss: 14366840.000000, style_loss: 807459.875000
iter: 184, loss: 17833.515625, content loss: 14266118.000000, style_loss: 802577.750000
iter: 185, loss: 17745.671875, content loss: 14244960.000000, style_loss: 793713.062500
iter: 186, loss: 17607.531250, content loss: 14141475.000000, style_loss: 786793.812500
iter: 187, loss: 17499.261719, content loss: 14121601.000000, style_loss: 775247.687500
iter: 188, loss: 17380.718750, content loss: 13985620.000000, style_loss: 774027.875000
iter: 189, loss: 17280.144531, content loss: 13886128.000000, style_loss: 771405.375000
iter: 190, loss: 17170.312500, content loss: 13831256.000000, style_loss: 763163.312500
iter: 191, loss: 17058.517578, content loss: 13793111.000000, style_loss: 753003.625000
iter: 192, loss: 16951.566406, content loss: 13714158.000000, style_loss: 747530.062500
iter: 193, loss: 16861.859375, content loss: 13618554.000000, style_loss: 745877.187500
iter: 194, loss: 16770.675781, content loss: 13622120.000000, style_loss: 734122.437500
iter: 195, loss: 16681.648438, content loss: 13530022.000000, style_loss: 732203.875000
iter: 196, loss: 16545.906250, content loss: 13416001.000000, style_loss: 726638.250000
iter: 197, loss: 16451.177734, content loss: 13353929.000000, style_loss: 721004.312500
iter: 198, loss: 16358.504883, content loss: 13289213.000000, style_loss: 715891.812500
iter: 199, loss: 16256.699219, content loss: 13259551.000000, style_loss: 706132.250000
iter: 200, loss: 16158.333008, content loss: 13162648.000000, style_loss: 703526.812500
iter: 201, loss: 16083.465820, content loss: 13085206.000000, style_loss: 701912.687500
iter: 202, loss: 15985.632812, content loss: 13023162.000000, style_loss: 695887.937500
iter: 203, loss: 15894.739258, content loss: 12971797.000000, style_loss: 689662.687500
iter: 204, loss: 15804.636719, content loss: 12916014.000000, style_loss: 683978.312500
iter: 205, loss: 15726.791992, content loss: 12818826.000000, style_loss: 683966.375000
iter: 206, loss: 15666.874023, content loss: 12862584.000000, style_loss: 672100.812500
iter: 207, loss: 15566.847656, content loss: 12747263.000000, style_loss: 671129.625000
iter: 208, loss: 15475.674805, content loss: 12630579.000000, style_loss: 671401.437500
iter: 209, loss: 15405.711914, content loss: 12594448.000000, style_loss: 666269.125000
iter: 210, loss: 15312.935547, content loss: 12545758.000000, style_loss: 659541.125000
iter: 211, loss: 15222.693359, content loss: 12516854.000000, style_loss: 651151.125000
iter: 212, loss: 15138.730469, content loss: 12430198.000000, style_loss: 649321.437500
iter: 213, loss: 15060.513672, content loss: 12377632.000000, style_loss: 644801.000000
iter: 214, loss: 14983.449219, content loss: 12314326.000000, style_loss: 641498.500000
iter: 215, loss: 14896.046875, content loss: 12254032.000000, style_loss: 636602.625000
iter: 216, loss: 14807.860352, content loss: 12196978.000000, style_loss: 631284.750000
iter: 217, loss: 14733.204102, content loss: 12142514.000000, style_loss: 627399.125000
iter: 218, loss: 14658.375977, content loss: 12067368.000000, style_loss: 625560.125000
iter: 219, loss: 14576.041992, content loss: 12054652.000000, style_loss: 616540.000000
iter: 220, loss: 14514.154297, content loss: 11960573.000000, style_loss: 618212.000000
iter: 221, loss: 14424.993164, content loss: 11915812.000000, style_loss: 611542.937500
iter: 222, loss: 14356.171875, content loss: 11853931.000000, style_loss: 609128.375000
iter: 223, loss: 14295.672852, content loss: 11816267.000000, style_loss: 605332.375000
iter: 224, loss: 14218.333984, content loss: 11752163.000000, style_loss: 602075.375000
iter: 225, loss: 14154.146484, content loss: 11759980.000000, style_loss: 593270.437500
iter: 226, loss: 14079.096680, content loss: 11656848.000000, style_loss: 594202.250000
iter: 227, loss: 14016.466797, content loss: 11605235.000000, style_loss: 591534.937500
iter: 228, loss: 13959.062500, content loss: 11539892.000000, style_loss: 590893.625000
iter: 229, loss: 13889.789062, content loss: 11543886.000000, style_loss: 581835.125000
iter: 230, loss: 13818.777344, content loss: 11475285.000000, style_loss: 579818.750000
iter: 231, loss: 13767.392578, content loss: 11405388.000000, style_loss: 580385.187500
iter: 232, loss: 13701.238281, content loss: 11383786.000000, style_loss: 574276.250000
iter: 233, loss: 13636.789062, content loss: 11324720.000000, style_loss: 572126.625000
